file_name	seed	formula_x	formula_y
2021-10-11-21-22_seed_5953.png	5953	runif(1, -1) * y	runif(1, -1) * x
2021-10-11-21-23_seed_3933.png	3933	runif(1, -1) * i	runif(1, -1) * i
2021-10-11-21-23_seed_7974.png	7974	runif(1, -1) * i^2	runif(1, -1) * i^2
2021-10-11-21-23_seed_2374.png	2374	runif(1, -1) * x_i^2	runif(1, -1) * y_i^2
2021-10-11-21-24_seed_115.png	115	runif(1, -1) * x_i^2	runif(1, -1) * y_i^2
2021-10-11-21-24_seed_6361.png	6361	runif(1, -1, 1) * x_i^2	runif(1, -1, 1) * y_i^2
2021-10-11-21-25_seed_2255.png	2255	runif(1, -1, 1) * x_i^2	runif(1, -1, 1) * y_i^2
2021-10-11-21-25_seed_2255.png	2255	runif(1, -1, 2) * x_i^2	runif(1, -1, 2) * y_i^2
2021-10-11-21-25_seed_2255.png	2255	runif(1, -1, 2) * x_i^2 + cos(x)	runif(1, -1, 2) * y_i^2 + cos(y)
2021-10-11-21-26_seed_2255.png	2255	runif(1, -1, 2) * x_i^2 + cos(x_i^2)	runif(1, -1, 2) * y_i^2 + cos(y_i^2)
2021-10-11-21-26_seed_2255.png	2255	runif(10, -1, 2) * x_i^2 + cos(x_i^2)	runif(10, -1, 2) * y_i^2 + cos(y_i^2)
2021-10-11-21-27_seed_2255.png	2255	runif(1, -1, 20) * x_i^2 + cos(x_i^2)	runif(1, -1, 20) * y_i^2 + cos(y_i^2)
2021-10-11-21-27_seed_2255.png	2255	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 + cos(y_i^2)
2021-10-11-21-27_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 + cos(y_i^2)
2021-10-11-21-28_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 + cos(y_i^2)
2021-10-11-21-28_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 - cos(y_i^2)
2021-10-11-21-29_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 - tan(y_i^2)
2021-10-11-21-29_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 + tan(y_i^2)
2021-10-11-21-30_seed_3151.png	3151	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 + tan(y_i^2)
2021-10-11-21-30_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 * tan(y_i^2)
2021-10-11-21-31_seed_5479.png	5479	runif(1, -5, 20) * x_i^2/cos(x_i^2)	runif(1, -5, 20) * y_i^2 * tan(y_i^2)
2021-10-11-21-31_seed_5479.png	5479	runif(1, -5, 20) * x_i^2^cos(x_i^2)	runif(1, -5, 20) * y_i^2 * tan(y_i^2)
2021-10-11-21-31_seed_3151.png	3151	runif(1, -5, 20) * x_i^2^cos(x_i^2)	runif(1, -5, 20) * y_i^2 * tan(y_i^2)
2021-10-11-21-31_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 + cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^2)
2021-10-11-21-32_seed_5479.png	5479	runif(1, -5, 20) * x_i^2 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^2)
2021-10-11-21-32_seed_5479.png	5479	runif(1, -50, 20) * x_i^2 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^2)
